# command: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit pathway_enrichment output/resamp_all_perm_winz_pc5.tsv GSEA_files/Mbovis_GO_terms.dat GSEA_files/GO_term_names.dat output/gsea_fet.txt -M FET -Pval_col 10 -Qval_col 11
# date: 2023-08-16 09:17:52
# pathway method: FET
# method=FET, PC=2
# genes with associations=3121 out of 4045 total
# significant genes (qval<0.05): 11
# 2474 out of 47127 pathways have >=1 gene; max has 2412
#pathway	total_genes(M)	genes_in_path(n)	significant_genes(N)	signif_genes_in_path(k)	expected	k+PC	n_adj_by_PC	enrichement	pval	qval	description	genes
GO:0034069	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	aminoglycoside N-acetyltransferase activity	
GO:0034214	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	protein hexamerization	
GO:0034335	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	DNA supercoiling activity	
GO:0034355	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	NAD salvage	
GO:0034414	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	tRNA 3'-trailer cleavage, endonucleolytic	
GO:0034605	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular response to heat	
GO:0034618	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	arginine binding	
GO:0034627	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	'de novo' NAD biosynthetic process	
GO:0034628	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	'de novo' NAD biosynthetic process from aspartate	
GO:0034708	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	methyltransferase complex	
GO:0034754	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular hormone metabolic process	
GO:0035250	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	UDP-galactosyltransferase activity	
GO:0035251	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	UDP-glucosyltransferase activity	
GO:0035384	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	thioester biosynthetic process	
GO:0035440	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	tuberculosinol biosynthetic process	
GO:0035551	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	protein initiator methionine removal involved in protein maturation	
GO:0035884	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	arabinan biosynthetic process	
GO:0036200	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	3-ketosteroid 9-alpha-monooxygenase activity	
GO:0036265	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	RNA (guanine-N7)-methylation	
GO:0036314	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	response to sterol	
GO:0036439	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	glycerol-3-phosphate dehydrogenase [NADP+] activity	
GO:0036440	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	citrate synthase activity	
GO:0042083	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	5,10-methylenetetrahydrofolate-dependent methyltransferase activity	
GO:0042084	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	5-methyltetrahydrofolate-dependent methyltransferase activity	
GO:0042085	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	5-methyltetrahydropteroyltri-L-glutamate-dependent methyltransferase activity	
GO:0042176	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of protein catabolic process	
GO:0042326	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation of phosphorylation	
GO:0042402	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular biogenic amine catabolic process	
GO:0042446	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	hormone biosynthetic process	
GO:0042537	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	benzene-containing compound metabolic process	
GO:0042781	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	3'-tRNA processing endoribonuclease activity	
GO:0042851	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	L-alanine metabolic process	
GO:0042853	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	L-alanine catabolic process	
GO:0043024	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	ribosomal small subunit binding	
GO:0043065	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation of apoptotic process	
GO:0043068	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation of programmed cell death	
GO:0043096	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	purine nucleobase salvage	
GO:0043100	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	pyrimidine nucleobase salvage	
GO:0043138	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	3'-5' DNA helicase activity	
GO:0043140	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	ATP-dependent 3'-5' DNA helicase activity	
GO:0043171	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	peptide catabolic process	
GO:0043470	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of carbohydrate catabolic process	
GO:0043527	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	tRNA methyltransferase complex	
GO:0043549	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of kinase activity	
GO:0043570	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	maintenance of DNA repeat elements	
GO:0043571	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	maintenance of CRISPR repeat elements	
GO:0043647	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	inositol phosphate metabolic process	
GO:0043687	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	post-translational protein modification	
GO:0043856	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	anti-sigma factor antagonist activity	
GO:0043902	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation of multi-organism process	
GO:0043953	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	protein transport by the Tat complex	
GO:0044165	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	host cell endoplasmic reticulum	
GO:0044179	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	hemolysis in other organism	
GO:0044208	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	'de novo' AMP biosynthetic process	
GO:0044210	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	'de novo' CTP biosynthetic process	
GO:0044218	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	other organism cell membrane	
GO:0044279	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	other organism membrane	
GO:0044364	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	disruption of cells of other organism	
GO:0044403	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	symbiont process	
GO:0044501	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	modulation of signal transduction in other organism	
GO:0044533	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation of apoptotic process in other organism	
GO:0044728	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	DNA methylation or demethylation	
GO:0045005	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	DNA-dependent DNA replication maintenance of fidelity	
GO:0045047	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	protein targeting to ER	
GO:0045181	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	glutamate synthase activity, NAD(P)H as acceptor	
GO:0045239	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	tricarboxylic acid cycle enzyme complex	
GO:0045271	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	respiratory chain complex I	
GO:0045272	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	plasma membrane respiratory chain complex I	
GO:0045300	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	acyl-[acyl-carrier-protein] desaturase activity	
GO:0045910	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation of DNA recombination	
GO:0045980	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation of nucleotide metabolic process	
GO:0046025	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	precorrin-6Y C5,15-methyltransferase (decarboxylating) activity	
GO:0046051	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	UTP metabolic process	
GO:0046070	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	dGTP metabolic process	
GO:0046073	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	dTMP metabolic process	
GO:0046078	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	dUMP metabolic process	
GO:0046080	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	dUTP metabolic process	
GO:0046081	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	dUTP catabolic process	
GO:0046085	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	adenosine metabolic process	
GO:0046130	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	purine ribonucleoside catabolic process	
GO:0046133	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	pyrimidine ribonucleoside catabolic process	
GO:0046135	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	pyrimidine nucleoside catabolic process	
GO:0046146	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	tetrahydrobiopterin metabolic process	
GO:0046168	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	glycerol-3-phosphate catabolic process	
GO:0046349	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	amino sugar biosynthetic process	
GO:0046391	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	5-phosphoribose 1-diphosphate metabolic process	
GO:0046416	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	D-amino acid metabolic process	
GO:0046421	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	methylisocitrate lyase activity	
GO:0046475	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	glycerophospholipid catabolic process	
GO:0046497	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	nicotinate nucleotide metabolic process	
GO:0046527	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	glucosyltransferase activity	
GO:0046789	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	host cell surface receptor binding	
GO:0046838	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	phosphorylated carbohydrate dephosphorylation	
GO:0046855	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	inositol phosphate dephosphorylation	
GO:0046857	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	oxidoreductase activity, acting on other nitrogenous compounds as donors, with NAD or NADP as acceptor	
GO:0046870	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cadmium ion binding	
GO:0046874	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	quinolinate metabolic process	
GO:0047086	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	ketosteroid monooxygenase activity	
GO:0047280	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	nicotinamide phosphoribosyltransferase activity	
GO:0047372	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	acylglycerol lipase activity	
GO:0047470	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	(1,4)-alpha-D-glucan 1-alpha-D-glucosylmutase activity	
GO:0047553	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	2-oxoglutarate synthase activity	
GO:0047952	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity	
GO:0050427	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	3'-phosphoadenosine 5'-phosphosulfate metabolic process	
GO:0050486	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	intramolecular transferase activity, transferring hydroxy groups	
GO:0050518	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity	
GO:0050567	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	
GO:0050667	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	homocysteine metabolic process	
GO:0050840	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	extracellular matrix binding	
GO:0051129	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation of cellular component organization	
GO:0051131	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	chaperone-mediated protein complex assembly	
GO:0051193	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of cofactor metabolic process	
GO:0051196	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of coenzyme metabolic process	
GO:0051266	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	sirohydrochlorin ferrochelatase activity	
GO:0051273	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	beta-glucan metabolic process	
GO:0051275	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	beta-glucan catabolic process	
GO:0051338	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of transferase activity	
GO:0051483	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	terpenoid biosynthetic process, mevalonate-independent	
GO:0051484	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process	
GO:0051606	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	detection of stimulus	
GO:0051712	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation of killing of cells of other organism	
GO:0051715	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cytolysis in other organism	
GO:0051745	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity	
GO:0052027	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	modulation by symbiont of host signal transduction pathway	
GO:0052042	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation by symbiont of host programmed cell death	
GO:0052083	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation by symbiont of host cell-mediated immune response	
GO:0052151	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation by symbiont of host apoptotic process	
GO:0052155	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	modulation by symbiont of host cell-mediated immune response	
GO:0052164	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	modulation by symbiont of defense-related host reactive oxygen species production	
GO:0052250	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	modulation of signal transduction in other organism involved in symbiotic interaction	
GO:0052278	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation by organism of cell-mediated immune response of other organism involved in symbiotic interaction	
GO:0052294	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	modulation by organism of cell-mediated immune response of other organism involved in symbiotic interaction	
GO:0052303	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	modulation by organism of defense-related reactive oxygen species production in other organism involved in symbiotic interaction	
GO:0052330	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation by organism of programmed cell death in other organism involved in symbiotic interaction	
GO:0052501	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation by organism of apoptotic process in other organism involved in symbiotic interaction	
GO:0052509	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation by symbiont of host defense response	
GO:0052510	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	positive regulation by organism of defense response of other organism involved in symbiotic interaction	
GO:0052590	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity	
GO:0052591	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity	
GO:0052821	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	DNA-7-methyladenine glycosylase activity	
GO:0052822	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	DNA-3-methylguanine glycosylase activity	
GO:0052875	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	riboflavin reductase (NADH) activity	
GO:0055062	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	phosphate ion homeostasis	
GO:0055070	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	copper ion homeostasis	
GO:0055081	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	anion homeostasis	
GO:0055083	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	monovalent inorganic anion homeostasis	
GO:0055129	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	L-proline biosynthetic process	
GO:0060187	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cell pole	
GO:0060542	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of strand invasion	
GO:0060543	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation of strand invasion	
GO:0060627	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of vesicle-mediated transport	
GO:0060700	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of ribonuclease activity	
GO:0060701	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation of ribonuclease activity	
GO:0061136	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of proteasomal protein catabolic process	
GO:0061503	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	tRNA threonylcarbamoyladenosine dehydratase	
GO:0061504	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cyclic threonylcarbamoyladenosine biosynthetic process	
GO:0061615	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	glycolytic process through fructose-6-phosphate	
GO:0061798	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	GTP 3',8'-cyclase activity	
GO:0070003	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	threonine-type peptidase activity	
GO:0070026	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	nitric oxide binding	
GO:0070069	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cytochrome complex	
GO:0070084	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	protein initiator methionine removal	
GO:0070181	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	small ribosomal subunit rRNA binding	
GO:0070283	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	radical SAM enzyme activity	
GO:0070297	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of phosphorelay signal transduction system	
GO:0070298	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation of phosphorelay signal transduction system	
GO:0070301	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular response to hydrogen peroxide	
GO:0070417	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular response to cold	
GO:0070483	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	detection of hypoxia	
GO:0070542	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	response to fatty acid	
GO:0070568	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	guanylyltransferase activity	
GO:0070588	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	calcium ion transmembrane transport	
GO:0070723	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	response to cholesterol	
GO:0070972	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	protein localization to endoplasmic reticulum	
GO:0070988	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	demethylation	
GO:0071111	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cyclic-guanylate-specific phosphodiesterase activity	
GO:0071229	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular response to acid chemical	
GO:0071249	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular response to nitrate	
GO:0071266	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	'de novo' L-methionine biosynthetic process	
GO:0071545	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	inositol phosphate catabolic process	
GO:0071616	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	acyl-CoA biosynthetic process	
GO:0071951	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	conversion of methionyl-tRNA to N-formyl-methionyl-tRNA	
GO:0072338	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular lactam metabolic process	
GO:0072340	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular lactam catabolic process	
GO:0072488	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	ammonium transmembrane transport	
GO:0072501	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular divalent inorganic anion homeostasis	
GO:0072502	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular trivalent inorganic anion homeostasis	
GO:0072505	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	divalent inorganic anion homeostasis	
GO:0072506	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	trivalent inorganic anion homeostasis	
GO:0072526	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	pyridine-containing compound catabolic process	
GO:0072594	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	establishment of protein localization to organelle	
GO:0072599	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	establishment of protein localization to endoplasmic reticulum	
GO:0080135	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of cellular response to stress	
GO:0080146	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	L-cysteine desulfhydrase activity	
GO:0090143	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	nucleoid organization	
GO:0090503	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	RNA phosphodiester bond hydrolysis, exonucleolytic	
GO:0090529	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cell septum assembly	
GO:0090729	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	toxin activity	
GO:0097054	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	L-glutamate biosynthetic process	
GO:0097089	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	methyl-branched fatty acid metabolic process	
GO:0097237	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	cellular response to toxic substance	
GO:0097305	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	response to alcohol	
GO:0097428	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	protein maturation by iron-sulfur cluster transfer	
GO:0098809	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	nitrite reductase activity	
GO:0101031	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	chaperone complex	
GO:0102752	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)	
GO:0103045	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	methione N-acyltransferase activity	
GO:1900371	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of purine nucleotide biosynthetic process	
GO:1900372	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation of purine nucleotide biosynthetic process	
GO:1900542	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of purine nucleotide metabolic process	
GO:1900543	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation of purine nucleotide metabolic process	
GO:1901568	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	fatty acid derivative metabolic process	
GO:1902023	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	L-arginine transport	
GO:1902475	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	L-alpha-amino acid transmembrane transport	
GO:1902503	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	adenylyltransferase complex	
GO:1902531	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	regulation of intracellular signal transduction	
GO:1902532	4045	2	11	0	0.01	2	737	0.995	0.3235984921238936	0.39439262473687786	negative regulation of intracellular signal transduction	
